address,city,state,total_sf,year_built,class,tatol_vacant_sf,vacancy_rate,total_leased_sf,total_available_sf,availability_rate
1107 9th St,Sacramento,CA,114165,1928,B,23663,0.207,90502,36085,0.316
921 11th St,Sacramento,CA,110648,1926,B,29916,0.27,80732,29916,0.27
660 J St,Sacramento,CA,97000,1981,B,97000,1,0,97000,1
428 J St,Sacramento,CA,94911,1984,B,40541,0.427,54370,38081,0.401
630 K St,Sacramento,CA,92000,1956,B,62028,0.674,29972,45368,0.493
700 J St,Sacramento,CA,90210,1915,B,41931,0.465,48279,0,0
520 Capitol Mall,Sacramento,CA,82401,1963,A,17119,0.208,65282,17119,0.208
1000 G St,Sacramento,CA,81094,1981,B,0,0,81094,38736,0.478
444 N 3rd St,Sacramento,CA,80944,1984,C,18598,0.23,62346,18598,0.23
1500 5th St,Sacramento,CA,80640,1962,B,22995,0.285,57645,22178,0.275
1101-1131 11th St,Sacramento,CA,78000,1927,B,0,0,78000,0,0
591 N 7th St,Sacramento,CA,73000,1989,B,0,0,73000,0,0
1303 J St,Sacramento,CA,72825,1981,B,8193,0.113,64632,14772,0.203
730 I St,Sacramento,CA,70000,1960,C,55264,0.789,14736,55264,0.789
717 K St,Sacramento,CA,67824,1895,B,0,0,67824,0,0
601 N 7th St,Sacramento,CA,67000,,B,0,0,67000,0,0
830 K St,Sacramento,CA,62991,1913,B,52767,0.838,10224,52767,0.838
825-831 K St,Sacramento,CA,58512,1910,B,0,0,58512,0,0
1108 O St,Sacramento,CA,57420,1960,B,57420,1,0,57420,1
1414 K St,Sacramento,CA,57093,1929,B,16867,0.295,40226,37145,0.651
906 G St,Sacramento,CA,55140,1988,B,0,0,55140,0,0
1001 K St,Sacramento,CA,54000,1940,B,10594,0.196,43406,0,0
